osmid,y,x,street_count,geometry
7456950,48.1981986,16.3111965,4,POINT (16.3111965 48.1981986)
7456951,48.1990156,16.3111765,4,POINT (16.3111765 48.1990156)
8085149,48.1982669,16.3101047,4,POINT (16.3101047 48.1982669)
7456952,48.1990267,16.3124438,4,POINT (16.3124438 48.1990267)
9697698,48.199345,16.3126369,4,POINT (16.3126369 48.199345)
9921149,48.1990712,16.3169311,3,POINT (16.3169311 48.1990712)
7456965,48.1978861,16.3163086,4,POINT (16.3163086 48.1978861)
7456955,48.1990838,16.317771,4,POINT (16.317771 48.1990838)
3312702006,48.1990771,16.3181024,3,POINT (16.3181024 48.1990771)
7456958,48.1938094,16.3124397,1,POINT (16.3124397 48.1938094)
7456960,48.1939606,16.3147226,4,POINT (16.3147226 48.1939606)
7456962,48.1929972,16.3130509,3,POINT (16.3130509 48.1929972)
7456961,48.1928145,16.3143133,4,POINT (16.3143133 48.1928145)
1596328204,48.1927442,16.3152714,3,POINT (16.3152714 48.1927442)
8085134,48.1976735,16.3069407,3,POINT (16.3069407 48.1976735)
5940624538,48.1984639,16.3069406,4,POINT (16.3069406 48.1984639)
8085135,48.1976483,16.3078617,3,POINT (16.3078617 48.1976483)
8085143,48.1975909,16.3084578,4,POINT (16.3084578 48.1975909)
8085136,48.1983992,16.3079974,4,POINT (16.3079974 48.1983992)
8085140,48.1983354,16.3090123,4,POINT (16.3090123 48.1983354)
9697672,48.1989823,16.3078382,3,POINT (16.3078382 48.1989823)
8085138,48.1989327,16.3070483,4,POINT (16.3070483 48.1989327)
3312680127,48.1989988,16.3070551,4,POINT (16.3070551 48.1989988)
1520318995,48.198982,16.3072671,3,POINT (16.3072671 48.198982)
8085147,48.1975507,16.3088759,3,POINT (16.3088759 48.1975507)
8085148,48.1974932,16.3099671,4,POINT (16.3099671 48.1974932)
8002030680,48.1966897,16.3081051,3,POINT (16.3081051 48.1966897)
32637471,48.2109738,16.3139596,3,POINT (16.3139596 48.2109738)
87152559,48.2126054,16.3121364,4,POINT (16.3121364 48.2126054)
33242243,48.2100593,16.3112878,3,POINT (16.3112878 48.2100593)
9697721,48.2071508,16.3069426,3,POINT (16.3069426 48.2071508)
1783310491,48.2077774,16.309173,3,POINT (16.309173 48.2077774)
9697675,48.2008056,16.3050416,3,POINT (16.3050416 48.2008056)
9697676,48.2013304,16.3050977,1,POINT (16.3050977 48.2013304)
9697683,48.2007097,16.3075795,4,POINT (16.3075795 48.2007097)
9697677,48.2015642,16.3052911,1,POINT (16.3052911 48.2015642)
9697680,48.2015137,16.3066925,3,POINT (16.3066925 48.2015137)
5335170648,48.2020567,16.3068979,3,POINT (16.3068979 48.2020567)
9697682,48.2013828,16.3080103,3,POINT (16.3080103 48.2013828)
5335170650,48.2017579,16.3082431,3,POINT (16.3082431 48.2017579)
9697687,48.2005611,16.3082959,3,POINT (16.3082959 48.2005611)
9697684,48.2018712,16.3083134,4,POINT (16.3083134 48.2018712)
9921174,48.2024192,16.308666,3,POINT (16.308666 48.2024192)
9921173,48.2015011,16.3089405,3,POINT (16.3089405 48.2015011)
5335170646,48.2021168,16.3075287,3,POINT (16.3075287 48.2021168)
9697685,48.2013394,16.3092131,3,POINT (16.3092131 48.2013394)
9921180,48.2011622,16.3095215,3,POINT (16.3095215 48.2011622)
9697686,48.2003878,16.3090042,3,POINT (16.3090042 48.2003878)
9697688,48.2002785,16.3094413,4,POINT (16.3094413 48.2002785)
9697733,48.2010882,16.3096352,3,POINT (16.3096352 48.2010882)
9921148,48.2000368,16.3134452,3,POINT (16.3134452 48.2000368)
9921179,48.2002395,16.311098,3,POINT (16.311098 48.2002395)
9697699,48.2021313,16.3074505,3,POINT (16.3074505 48.2021313)
9697700,48.2021972,16.306951,3,POINT (16.306951 48.2021972)
9697701,48.203334,16.3078473,3,POINT (16.3078473 48.203334)
319546900,48.2032754,16.3090009,3,POINT (16.3090009 48.2032754)
9697704,48.2039768,16.3080691,3,POINT (16.3080691 48.2039768)
9697702,48.2031083,16.3089321,3,POINT (16.3089321 48.2031083)
448865028,48.2029947,16.308881,3,POINT (16.308881 48.2029947)
9921118,48.2027168,16.3112494,3,POINT (16.3112494 48.2027168)
9697713,48.2052146,16.3085014,4,POINT (16.3085014 48.2052146)
9697706,48.2044903,16.3058609,3,POINT (16.3058609 48.2044903)
9697710,48.2057606,16.3057402,3,POINT (16.3057402 48.2057606)
411887733,48.206552,16.3058811,3,POINT (16.3058811 48.206552)
9697711,48.2048785,16.3068923,1,POINT (16.3068923 48.2048785)
9697715,48.2050484,16.3095951,3,POINT (16.3095951 48.2050484)
9697714,48.205978,16.3087506,3,POINT (16.3087506 48.205978)
2308727104,48.2069684,16.3090899,3,POINT (16.3090899 48.2069684)
411887718,48.2072089,16.30584,3,POINT (16.30584 48.2072089)
448865030,48.2054186,16.31552,3,POINT (16.31552 48.2054186)
9921122,48.203856,16.3165099,3,POINT (16.3165099 48.203856)
9921092,48.2054257,16.3153969,3,POINT (16.3153969 48.2054257)
9921097,48.2055735,16.313731,3,POINT (16.313731 48.2055735)
303933494,48.2069976,16.3141962,3,POINT (16.3141962 48.2069976)
9921102,48.2043082,16.3134172,4,POINT (16.3134172 48.2043082)
1365035092,48.2031676,16.3132135,4,POINT (16.3132135 48.2031676)
9921111,48.2054178,16.3126275,1,POINT (16.3126275 48.2054178)
9921127,48.2041604,16.3151571,3,POINT (16.3151571 48.2041604)
9921106,48.2026022,16.3130869,3,POINT (16.3130869 48.2026022)
9921134,48.2021331,16.3140337,3,POINT (16.3140337 48.2021331)
9921107,48.2019406,16.3129144,5,POINT (16.3129144 48.2019406)
9921152,48.2013658,16.312334,4,POINT (16.312334 48.2013658)
1212155386,48.2011076,16.3145055,4,POINT (16.3145055 48.2011076)
9921117,48.2035723,16.3122685,1,POINT (16.3122685 48.2035723)
9921119,48.2022042,16.310673,4,POINT (16.310673 48.2022042)
9921120,48.2016993,16.3101208,4,POINT (16.3101208 48.2016993)
9921151,48.2008746,16.3117939,4,POINT (16.3117939 48.2008746)
9921123,48.2031782,16.3163946,3,POINT (16.3163946 48.2031782)
9921126,48.2021759,16.3157209,4,POINT (16.3157209 48.2021759)
9921139,48.2016404,16.3150685,4,POINT (16.3150685 48.2016404)
9921135,48.2025997,16.3145289,3,POINT (16.3145289 48.2025997)
1367391366,48.2021146,16.3158606,3,POINT (16.3158606 48.2021146)
9921128,48.2039857,16.3151203,3,POINT (16.3151203 48.2039857)
9921183,48.2026681,16.3143956,3,POINT (16.3143956 48.2026681)
1212155491,48.2011948,16.3145987,4,POINT (16.3145987 48.2011948)
435147368,48.2015503,16.3152416,4,POINT (16.3152416 48.2015503)
9921142,48.2005646,16.3139892,3,POINT (16.3139892 48.2005646)
9921143,48.200702,16.3137085,3,POINT (16.3137085 48.200702)
1212155499,48.2010244,16.3145156,3,POINT (16.3145156 48.2010244)
9921147,48.2001864,16.3131374,3,POINT (16.3131374 48.2001864)
9921145,48.2004183,16.3142789,3,POINT (16.3142789 48.2004183)
9921146,48.1999147,16.3136978,3,POINT (16.3136978 48.1999147)
435208234,48.1991275,16.3153012,3,POINT (16.3153012 48.1991275)
9921164,48.199638,16.3158577,4,POINT (16.3158577 48.199638)
9921153,48.2010677,16.3161638,3,POINT (16.3161638 48.2010677)
435145297,48.2007477,16.3168773,4,POINT (16.3168773 48.2007477)
9921154,48.2018385,16.3166729,3,POINT (16.3166729 48.2018385)
9921155,48.2016019,16.3174286,3,POINT (16.3174286 48.2016019)
9921158,48.2014178,16.3182261,3,POINT (16.3182261 48.2014178)
9921157,48.2005094,16.3176336,4,POINT (16.3176336 48.2005094)
9921170,48.2002905,16.3185051,3,POINT (16.3185051 48.2002905)
437260256,48.1998697,16.3172113,3,POINT (16.3172113 48.1998697)
435145302,48.2007041,16.3177567,3,POINT (16.3177567 48.2007041)
9921160,48.2011877,16.3193703,5,POINT (16.3193703 48.2011877)
9921161,48.2001247,16.3192027,4,POINT (16.3192027 48.2001247)
16053965,48.2009528,16.3213463,3,POINT (16.3213463 48.2009528)
16055002,48.1996359,16.3191147,3,POINT (16.3191147 48.1996359)
