gen	nevals	avg        	std        	min        	max        
514	3549  	3.20176e+09	1.71201e+10	1.33869e+09	3.74303e+11
515	3591  	2.76127e+09	1.26074e+10	1.33868e+09	3.61835e+11
516	3550  	2.72952e+09	1.19452e+10	1.33868e+09	3.69531e+11
517	3597  	2.68301e+09	1.30344e+10	1.33831e+09	3.76832e+11
518	3562  	2.615e+09  	1.05481e+10	1.33803e+09	3.68355e+11
519	3541  	3.05416e+09	1.61671e+10	1.33793e+09	3.77859e+11
520	3526  	2.84989e+09	1.413e+10  	1.33793e+09	3.6082e+11 
521	3543  	2.6704e+09 	1.26557e+10	1.33721e+09	3.68395e+11
522	3533  	2.91122e+09	1.52917e+10	1.33381e+09	3.5607e+11 
523	3639  	2.67332e+09	1.16769e+10	1.33381e+09	3.74608e+11
524	3555  	2.65594e+09	1.06573e+10	1.33381e+09	3.69286e+11
525	3591  	2.76845e+09	1.23333e+10	1.33341e+09	3.56552e+11
526	3578  	3.17564e+09	1.76135e+10	1.33131e+09	5.45002e+11
527	3615  	2.77377e+09	1.32276e+10	1.33131e+09	3.89571e+11
528	3640  	2.58017e+09	9.80835e+09	1.33051e+09	3.5872e+11 
529	3588  	2.79335e+09	1.41378e+10	1.32798e+09	3.80886e+11
530	3516  	2.80159e+09	1.37341e+10	1.32798e+09	3.74481e+11
531	3665  	2.91279e+09	1.49975e+10	1.32704e+09	3.88646e+11
532	3527  	2.73023e+09	1.37743e+10	1.32594e+09	3.75208e+11
533	3568  	2.87876e+09	1.47731e+10	1.32705e+09	3.74535e+11
534	3685  	2.72142e+09	1.38753e+10	1.32596e+09	3.74773e+11
535	3539  	2.89312e+09	1.22714e+10	1.32522e+09	3.55332e+11
536	3594  	2.80205e+09	1.34346e+10	1.32522e+09	3.60777e+11
537	3567  	2.5503e+09 	1.08963e+10	1.32522e+09	3.74245e+11
538	3572  	2.88102e+09	1.49666e+10	1.32498e+09	3.81714e+11
539	3686  	2.73727e+09	1.28646e+10	1.32487e+09	3.55289e+11
540	3556  	2.63593e+09	1.03725e+10	1.32475e+09	3.56619e+11
541	3601  	2.74559e+09	1.29349e+10	1.32464e+09	3.56039e+11
542	3494  	2.65246e+09	1.12955e+10	1.32444e+09	3.56505e+11
543	3564  	2.78155e+09	1.32898e+10	1.32444e+09	3.67183e+11
544	3588  	2.60953e+09	1.05591e+10	1.32444e+09	3.70852e+11
545	3516  	2.63714e+09	1.24432e+10	1.3243e+09 	3.60516e+11
546	3564  	2.82012e+09	1.45618e+10	1.32425e+09	3.7433e+11 
547	3549  	2.66823e+09	1.26677e+10	1.32408e+09	3.56479e+11
548	3569  	3.04672e+09	1.62207e+10	1.32289e+09	3.60526e+11
549	3644  	2.69097e+09	1.23827e+10	1.32269e+09	3.81715e+11
550	3624  	2.87575e+09	1.43221e+10	1.32269e+09	3.76673e+11
551	3573  	2.67133e+09	1.15191e+10	1.32252e+09	3.6077e+11 
552	3621  	3.00942e+09	1.67752e+10	1.32252e+09	3.76091e+11
553	3648  	2.80655e+09	1.40535e+10	1.32252e+09	3.68497e+11
554	3557  	2.77272e+09	1.36984e+10	1.32248e+09	3.59712e+11
555	3537  	2.87609e+09	1.45893e+10	1.32239e+09	3.60425e+11
556	3606  	2.7802e+09 	1.28735e+10	1.3208e+09 	3.76581e+11
557	3685  	2.93765e+09	1.57651e+10	1.32028e+09	3.7633e+11 
558	3681  	2.63406e+09	1.14214e+10	1.31877e+09	3.75443e+11
559	3576  	2.5329e+09 	8.78032e+09	1.31877e+09	3.53658e+11
560	3594  	2.6231e+09 	1.18771e+10	1.31739e+09	3.71695e+11
561	3718  	2.57942e+09	9.27147e+09	1.31739e+09	3.56624e+11
562	3574  	2.5708e+09 	9.97689e+09	1.31728e+09	3.68676e+11
563	3489  	3.05182e+09	1.61098e+10	1.31682e+09	3.70093e+11
564	3559  	2.76657e+09	1.26871e+10	1.31648e+09	3.60822e+11
565	3612  	2.68131e+09	1.11114e+10	1.31531e+09	3.56169e+11
566	3643  	2.66432e+09	1.36243e+10	1.3147e+09 	5.44656e+11
567	3692  	2.86751e+09	1.31089e+10	1.31445e+09	3.56385e+11
568	3602  	2.60848e+09	1.20358e+10	1.31362e+09	3.60917e+11
569	3537  	2.87687e+09	1.54419e+10	1.31345e+09	3.67383e+11
570	3593  	2.81458e+09	1.40004e+10	1.31144e+09	3.71585e+11
571	3550  	2.60089e+09	1.09843e+10	1.30981e+09	3.73781e+11
572	3580  	2.91768e+09	1.44494e+10	1.30935e+09	3.64314e+11
573	3571  	2.61475e+09	1.04293e+10	1.30866e+09	3.75563e+11
574	3542  	2.76901e+09	1.51382e+10	1.30827e+09	3.67672e+11
575	3647  	2.60543e+09	1.12048e+10	1.30785e+09	3.57661e+11
576	3663  	2.80648e+09	1.40569e+10	1.30761e+09	3.74556e+11
577	3702  	2.79083e+09	1.31019e+10	1.30673e+09	3.55206e+11
578	3621  	2.6139e+09 	1.23686e+10	1.30673e+09	3.5618e+11 
579	3564  	2.75702e+09	1.25374e+10	1.30662e+09	3.87469e+11
580	3599  	2.7701e+09 	1.34591e+10	1.3039e+09 	3.82614e+11
581	3646  	2.72161e+09	1.20011e+10	1.3039e+09 	3.69795e+11
582	3569  	2.51783e+09	8.52374e+09	1.3039e+09 	3.53768e+11
583	3549  	2.73742e+09	1.34404e+10	1.30303e+09	3.68794e+11
584	3654  	2.64017e+09	1.30783e+10	1.30309e+09	3.5503e+11 
585	3572  	2.57976e+09	1.07207e+10	1.30293e+09	3.68724e+11
586	3593  	2.62164e+09	1.16325e+10	1.2966e+09 	3.57241e+11
587	3558  	2.83834e+09	1.46439e+10	1.2966e+09 	3.73241e+11
588	3486  	2.84933e+09	1.51647e+10	1.29575e+09	3.69225e+11
589	3652  	2.58148e+09	9.7123e+09 	1.29557e+09	3.60882e+11
590	3620  	2.48631e+09	9.62014e+09	1.29492e+09	3.54197e+11
591	3624  	2.68497e+09	1.17973e+10	1.29492e+09	3.55091e+11
592	3610  	2.79749e+09	1.33805e+10	1.29492e+09	3.57194e+11
593	3612  	2.78127e+09	1.3445e+10 	1.29479e+09	3.56231e+11
594	3591  	2.60092e+09	1.19661e+10	1.29485e+09	3.75681e+11
595	3586  	2.55169e+09	9.76972e+09	1.29492e+09	3.69109e+11
596	3568  	2.42866e+09	9.26051e+09	1.29478e+09	3.58667e+11
597	3604  	2.39157e+09	6.4279e+09 	1.29478e+09	3.54851e+11
598	3648  	2.48169e+09	9.79777e+09	1.29478e+09	3.68595e+11
599	3730  	2.59338e+09	1.05648e+10	1.29374e+09	3.60221e+11
600	3498  	2.50927e+09	9.49991e+09	1.29374e+09	3.66914e+11
601	3570  	2.51174e+09	9.92665e+09	1.29374e+09	3.75545e+11
602	3661  	2.88623e+09	1.30864e+10	1.29361e+09	3.56457e+11
603	3679  	2.56634e+09	1.09741e+10	1.29361e+09	3.69194e+11
604	3521  	2.72125e+09	1.24332e+10	1.29361e+09	3.60106e+11
605	3602  	2.69465e+09	1.16366e+10	1.29361e+09	3.78544e+11
606	3548  	2.67409e+09	1.23012e+10	1.29331e+09	3.69888e+11
607	3582  	2.63966e+09	1.02025e+10	1.29299e+09	3.56563e+11
608	3677  	2.85285e+09	1.38105e+10	1.29244e+09	3.69934e+11
609	3639  	3.0142e+09 	1.55039e+10	1.29244e+09	3.74806e+11
610	3573  	2.77869e+09	1.37108e+10	1.29244e+09	3.57192e+11
611	3584  	2.60187e+09	1.18301e+10	1.29182e+09	3.68566e+11
612	3575  	2.70745e+09	1.2683e+10 	1.29024e+09	3.54881e+11
613	3574  	2.5689e+09 	1.12968e+10	1.28947e+09	3.68144e+11
614	3609  	2.96136e+09	1.54908e+10	1.28941e+09	3.68523e+11
615	3490  	3.02959e+09	1.7227e+10 	1.28894e+09	5.50698e+11
616	3580  	2.66805e+09	1.28726e+10	1.28875e+09	3.56809e+11
617	3579  	2.9093e+09 	1.58144e+10	1.28875e+09	3.60506e+11
618	3604  	2.72996e+09	1.28664e+10	1.2878e+09 	3.68974e+11
619	3628  	2.70991e+09	1.35172e+10	1.2878e+09 	5.44412e+11
620	3623  	2.66139e+09	1.21215e+10	1.28631e+09	3.74115e+11
621	3502  	2.55304e+09	1.20653e+10	1.28617e+09	3.55413e+11
622	3585  	2.52085e+09	1.05767e+10	1.28607e+09	3.54571e+11
623	3599  	2.70053e+09	1.2897e+10 	1.28593e+09	3.83749e+11
624	3597  	2.74277e+09	1.16864e+10	1.2857e+09 	3.60495e+11
625	3620  	2.79454e+09	1.42183e+10	1.2856e+09 	3.58668e+11
626	3567  	2.66557e+09	1.3269e+10 	1.28538e+09	3.70182e+11
627	3544  	2.45161e+09	9.2015e+09 	1.28538e+09	3.54259e+11
628	3545  	2.61315e+09	1.05094e+10	1.28513e+09	3.54885e+11
629	3675  	2.70913e+09	1.3408e+10 	1.28498e+09	3.6929e+11 
630	3564  	2.64172e+09	1.18636e+10	1.28498e+09	3.68001e+11
631	3588  	2.69359e+09	1.21874e+10	1.28498e+09	3.5914e+11 
632	3614  	2.62089e+09	1.16657e+10	1.28408e+09	3.56551e+11
633	3565  	2.73118e+09	1.29675e+10	1.28406e+09	3.67586e+11
634	3724  	2.55657e+09	1.06332e+10	1.28406e+09	3.55364e+11
635	3574  	2.78657e+09	1.30078e+10	1.28367e+09	3.76376e+11
636	3707  	2.68099e+09	1.24919e+10	1.28343e+09	3.61221e+11
637	3560  	2.66512e+09	1.23908e+10	1.28307e+09	3.56142e+11
638	3619  	2.7516e+09 	1.39401e+10	1.28307e+09	3.81856e+11
639	3611  	2.94575e+09	1.52985e+10	1.28284e+09	3.72199e+11
640	3624  	2.68323e+09	1.20876e+10	1.28281e+09	3.61868e+11
641	3609  	2.77012e+09	1.37645e+10	1.28262e+09	3.73384e+11
642	3596  	2.77671e+09	1.38212e+10	1.28239e+09	3.75752e+11
643	3592  	2.50716e+09	9.6338e+09 	1.28179e+09	3.57955e+11
644	3551  	2.73146e+09	1.28047e+10	1.28203e+09	3.61337e+11
645	3576  	3.04863e+09	1.60841e+10	1.2814e+09 	3.57411e+11
646	3617  	2.64451e+09	1.22158e+10	1.2814e+09 	3.55393e+11
647	3598  	2.44615e+09	9.13866e+09	1.2814e+09 	3.54711e+11
648	3614  	2.67634e+09	1.23932e+10	1.28138e+09	3.61251e+11
649	3636  	2.57504e+09	1.12885e+10	1.28122e+09	3.74912e+11
650	3615  	2.68451e+09	1.37962e+10	1.28099e+09	3.75303e+11
651	3526  	2.6805e+09 	1.32666e+10	1.27958e+09	3.72481e+11
652	3619  	2.61876e+09	1.15259e+10	1.27958e+09	3.56878e+11
653	3601  	2.76421e+09	1.36164e+10	1.27958e+09	3.7517e+11 
654	3545  	2.77e+09   	1.33357e+10	1.27958e+09	3.73245e+11
655	3595  	2.73928e+09	1.38117e+10	1.27928e+09	3.66622e+11
656	3644  	2.60268e+09	1.07744e+10	1.27906e+09	3.62172e+11
657	3521  	2.85641e+09	1.44599e+10	1.27906e+09	3.68649e+11
658	3624  	2.64939e+09	1.19526e+10	1.27887e+09	3.55105e+11
659	3553  	2.72633e+09	1.25223e+10	1.27811e+09	3.74847e+11
660	3559  	2.463e+09  	9.15338e+09	1.27811e+09	3.56874e+11
661	3601  	2.52596e+09	1.09172e+10	1.27811e+09	3.61108e+11
662	3668  	2.53972e+09	1.12562e+10	1.27811e+09	3.74569e+11
663	3563  	2.7105e+09 	1.30119e+10	1.27781e+09	3.74267e+11
664	3669  	2.57814e+09	1.1582e+10 	1.27781e+09	3.55401e+11
665	3610  	2.91608e+09	1.47798e+10	1.27781e+09	3.68693e+11
666	3501  	2.49986e+09	1.06065e+10	1.27781e+09	3.55555e+11
667	3618  	2.57612e+09	1.14634e+10	1.27781e+09	3.55626e+11
668	3574  	2.64067e+09	9.72366e+09	1.27769e+09	3.53689e+11
669	3597  	2.5675e+09 	1.1437e+10 	1.27781e+09	3.56545e+11
670	3613  	2.78848e+09	1.36066e+10	1.27781e+09	3.77921e+11
671	3540  	2.69263e+09	1.34893e+10	1.27638e+09	3.69534e+11
672	3637  	2.63501e+09	1.19983e+10	1.27638e+09	3.76777e+11
673	3579  	2.83228e+09	1.49709e+10	1.27623e+09	3.74465e+11
674	3609  	2.70041e+09	1.29777e+10	1.27623e+09	3.66381e+11
675	3533  	2.49418e+09	1.06996e+10	1.27623e+09	3.74238e+11
676	3571  	2.43732e+09	9.91215e+09	1.27623e+09	3.67206e+11
677	3650  	2.84764e+09	1.36891e+10	1.27618e+09	3.64887e+11
678	3650  	2.71498e+09	1.26432e+10	1.27618e+09	3.75441e+11
679	3614  	2.70891e+09	1.30666e+10	1.27615e+09	3.89915e+11
680	3636  	2.63207e+09	1.11647e+10	1.27615e+09	3.78666e+11
681	3638  	2.83805e+09	1.41841e+10	1.27565e+09	3.6679e+11 
682	3607  	2.99558e+09	1.68691e+10	1.27565e+09	3.66986e+11
683	3553  	2.44986e+09	9.84741e+09	1.27557e+09	3.55983e+11
684	3600  	2.68768e+09	1.2809e+10 	1.27368e+09	3.68249e+11
685	3625  	2.55828e+09	1.09616e+10	1.27368e+09	3.56931e+11
686	3609  	2.52872e+09	9.03816e+09	1.27368e+09	3.5449e+11 
687	3580  	2.83449e+09	1.48968e+10	1.27368e+09	3.81614e+11
688	3592  	2.79397e+09	1.39503e+10	1.27368e+09	3.68258e+11
689	3572  	2.64881e+09	1.1337e+10 	1.27362e+09	3.72591e+11
690	3595  	3.02537e+09	1.72847e+10	1.27333e+09	3.7453e+11 
691	3553  	2.5223e+09 	1.19178e+10	1.27316e+09	3.69028e+11
692	3642  	2.51946e+09	1.15005e+10	1.27311e+09	3.58821e+11
693	3669  	2.66125e+09	1.32259e+10	1.27311e+09	3.74369e+11
694	3493  	2.43186e+09	9.92512e+09	1.27251e+09	3.5575e+11 
695	3624  	2.91046e+09	1.44584e+10	1.27179e+09	3.7099e+11 
696	3628  	2.84062e+09	1.49397e+10	1.27175e+09	3.7278e+11 
697	3589  	2.42811e+09	9.15023e+09	1.27152e+09	3.60133e+11
698	3633  	2.86966e+09	1.46797e+10	1.27152e+09	3.69381e+11
699	3598  	2.90105e+09	1.3727e+10 	1.27112e+09	3.58978e+11
700	3597  	2.38433e+09	9.56828e+09	1.27112e+09	3.5645e+11 
701	3613  	2.8302e+09 	1.34115e+10	1.27104e+09	3.81869e+11
702	3566  	2.8481e+09 	1.40962e+10	1.27104e+09	3.57251e+11
703	3568  	2.43004e+09	8.39382e+09	1.27096e+09	3.55769e+11
704	3503  	2.6696e+09 	1.21621e+10	1.27081e+09	3.55729e+11
705	3669  	2.85953e+09	1.49342e+10	1.27072e+09	3.66724e+11
706	3544  	2.62662e+09	1.04853e+10	1.27072e+09	3.59637e+11
707	3569  	2.56357e+09	1.15122e+10	1.27068e+09	3.54256e+11
708	3663  	2.78788e+09	1.38055e+10	1.27052e+09	3.68986e+11
709	3638  	2.78355e+09	1.37276e+10	1.27049e+09	3.57297e+11
